battery_id,vehicle,pack_capacity_kwh,usage_years,mileage_km,soh_percent,avg_temp_c,max_temp_c,cell_v_max,cell_v_min,bms_error_count,fast_charge_ratio_percent
IN-2026-001,EV E,72.6,10.3,176062,58.7,28.0,43.8,4.053,3.997,0,40
IN-2026-002,EV B,77.4,1.7,14846,92.8,22.6,43.2,4.054,4.049,0,48
IN-2026-003,EV C,58.0,8.6,128506,73.9,27.0,46.2,4.118,4.077,1,32
IN-2026-004,EV C,58.0,9.9,221010,51.4,25.6,44.3,4.094,4.032,3,40
IN-2026-005,EV B,77.4,10.5,149719,65.1,29.1,47.1,4.11,4.05,5,15
IN-2026-006,EV E,72.6,12.7,229801,43.5,29.2,45.0,4.099,4.033,3,27
IN-2026-007,EV E,72.6,3.4,62974,88.4,23.9,43.6,4.119,4.101,0,21
IN-2026-008,EV B,77.4,5.5,57164,84.9,37.0,55.7,4.104,4.08,0,38
IN-2026-009,EV A,64.0,7.6,165300,66.6,30.7,48.6,4.132,4.098,3,37
IN-2026-010,EV D,84.0,10.1,195829,54.0,27.0,39.3,4.088,4.015,13,29
IN-2026-011,EV E,72.6,9.3,113272,74.3,26.3,47.0,4.12,4.086,1,24
IN-2026-012,EV E,72.6,8.0,141317,64.3,32.2,50.8,4.12,4.066,2,54
IN-2026-013,EV A,64.0,7.2,150390,71.2,27.8,39.1,4.051,3.985,1,49
IN-2026-014,EV E,72.6,10.4,233910,50.1,28.7,38.3,4.076,4.023,3,39
IN-2026-015,EV B,77.4,2.7,56447,85.0,31.6,50.7,4.093,4.072,0,72
IN-2026-016,EV D,84.0,2.1,37091,86.6,31.0,50.4,4.112,4.107,1,39
IN-2026-017,EV C,58.0,10.8,200968,55.0,36.8,57.1,4.131,4.087,4,11
IN-2026-018,EV B,77.4,9.4,95457,67.5,27.4,45.3,4.088,3.921,0,60
IN-2026-019,EV A,64.0,7.8,90243,74.7,20.9,41.2,4.138,4.096,2,17
IN-2026-020,EV C,58.0,3.4,70827,83.4,30.8,49.8,4.124,4.094,9,63
IN-2026-021,EV C,58.0,7.9,68213,78.3,23.8,36.8,4.118,4.097,0,20
IN-2026-022,EV D,84.0,2.9,29811,90.8,41.5,54.8,4.105,4.1,0,35
IN-2026-023,EV B,77.4,1.2,13852,99.5,34.4,52.7,4.06,4.055,0,24
IN-2026-024,EV E,72.6,9.8,191640,61.9,26.5,41.7,4.071,4.023,3,19
IN-2026-025,EV D,84.0,11.1,124085,68.3,21.9,38.5,4.123,4.075,0,36
IN-2026-026,EV A,64.0,5.2,103024,80.3,26.5,41.8,4.128,4.097,1,53
IN-2026-027,EV B,77.4,8.9,131750,61.5,29.4,41.2,4.088,4.044,0,50
IN-2026-028,EV A,64.0,2.8,56330,84.3,27.4,42.2,4.059,4.035,0,40
IN-2026-029,EV C,58.0,11.3,246004,44.3,28.5,71.2,4.12,4.042,3,78
IN-2026-030,EV A,64.0,7.6,166854,74.9,29.9,42.1,4.138,4.119,1,17
IN-2026-031,EV E,72.6,7.6,78436,76.4,27.9,38.3,4.11,4.059,1,35
IN-2026-032,EV C,58.0,12.2,289559,41.7,29.5,44.2,4.135,4.039,11,29
IN-2026-033,EV C,58.0,1.0,9137,92.8,29.3,43.0,4.061,4.056,9,72
IN-2026-034,EV C,58.0,7.4,104813,73.2,32.4,54.2,4.082,4.053,0,33
IN-2026-035,EV D,84.0,2.0,32839,94.9,22.2,39.2,4.052,4.047,0,36
IN-2026-036,EV B,77.4,3.0,46131,82.0,25.3,40.9,4.125,4.086,0,29
IN-2026-037,EV E,72.6,1.5,17283,93.8,26.0,39.0,4.112,4.107,0,40
IN-2026-038,EV E,72.6,10.3,185836,60.7,27.8,38.3,4.13,4.074,1,44
